,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max temp,Wind Speed
0,Vaini,0,IN,1552798800,42,15.34,74.49,84.2,3.36
1,Hermanus,68,ZA,1552799799,99,-34.42,19.24,64.99,1.01
2,Saint-Georges,76,CA,1552799843,66,46.12,-70.67,19.99,7.0
3,Hilo,40,US,1552800035,73,19.71,-155.08,73.4,4.7
4,Bredasdorp,88,ZA,1552799799,99,-34.53,20.04,64.99,1.01
5,Barrow,76,AR,1552800367,95,-38.31,-60.23,64.76,7.63
6,Tuktoyaktuk,40,CA,1552798800,77,69.44,-133.03,5.0,19.46
7,Dikson,76,RU,1552800368,92,73.51,80.55,8.96,26.31
8,Sioux Lookout,40,CA,1552798800,85,50.1,-91.92,17.6,4.7
9,Atuona,0,PF,1552800368,100,-9.8,-139.03,81.95,12.66
10,Busselton,0,AU,1552800310,31,-33.64,115.35,82.0,16.8
11,Kruisfontein,68,ZA,1552800368,90,-34.0,24.73,65.48,4.83
12,Komsomolskiy,88,RU,1552800369,83,67.55,63.78,17.15,11.99
13,Rikitea,80,PF,1552800369,100,-23.12,-134.97,77.63,21.83
14,Torbay,90,CA,1552800203,93,47.66,-52.73,43.0,24.16
15,Carnarvon,20,ZA,1552800369,86,-30.97,22.13,59.99,4.72
16,Inhambane,92,MZ,1552800369,84,-23.87,35.38,79.79,7.96
17,Port Alfred,8,ZA,1552800308,97,-33.59,26.89,69.01,1.99
18,Togur,36,RU,1552800369,88,58.36,82.83,25.97,4.05
19,Coahuayana,0,MX,1552800370,68,18.62,-100.35,60.89,2.15
20,Broken Hill,0,AU,1552795200,25,-31.97,141.45,86.0,11.41
21,Buala,0,SB,1552800370,70,-8.15,159.59,88.88,7.07
22,Hobart,20,AU,1552800314,56,-42.88,147.33,70.0,19.46
23,Mao,20,DO,1552800034,88,19.55,-71.08,73.0,6.93
24,Bethel,90,US,1552798560,85,60.79,-161.76,24.8,8.05
25,Taltal,0,CL,1552799776,89,-25.41,-70.49,54.59,2.37
26,Jamestown,0,AU,1552800371,75,-33.21,138.6,76.55,6.73
27,Ribeira Grande,68,PT,1552800372,94,38.52,-28.7,61.97,8.63
28,Lazaro Cardenas,20,MX,1552799708,34,28.39,-105.62,53.6,8.05
29,Bowen,0,AU,1552800326,62,-20.01,148.25,87.01,10.29
30,Puerto Ayora,44,EC,1552797916,90,-0.74,-90.35,75.0,1.99
31,Atasu,56,KZ,1552800372,93,48.68,71.64,24.53,13.0
32,Alofi,88,NU,1552795200,78,-19.06,-169.92,82.4,6.93
33,Tiznit,0,MA,1552800372,72,29.7,-9.73,57.83,0.58
